ingredient_key,verdict,item_no,item_product,status,rationale
activated charcoal powder,map,115,ACTIVATED CHARCOAL,proposed,ACTIVATED CHARCOAL
almond milk,kitchen,,,proposed,"no confident match (best: ""ANAND COW MILK"" at 33%) — composite line, missing inventory row, or needs the kitchen"
almonds,map,84,ALMOND DOUBLE TOUCH,proposed,ALMOND DOUBLE TOUCH is the almond line
amaranth seeds,kitchen,,,proposed,"no confident match (best: ""CUMIN SEED"" at 50%) — composite line, missing inventory row, or needs the kitchen"
apple,map,51,APPLE SHIMLA,proposed,APPLE SHIMLA
avocado,kitchen,,,proposed,"no inventory candidate — composite line, missing inventory row, or needs the kitchen"
babycorn,map,119,BABYCORN,proposed,exact
baking powder,map,13,BAKING POWDER,proposed,exact
banana,map,100,BANANA YELLOW,proposed,BANANA YELLOW
barnyard millet poha,kitchen,,,proposed,"no confident match (best: ""POHA MOTA"" at 33%) — composite line, missing inventory row, or needs the kitchen"
basil,map,10,BASIL LEAVES,proposed,BASIL LEAVES (currently unpriced on the sheet — flows as 0-cost until priced)
basil pesto,map,92,PESTO SAUCE,proposed,same
bbq sauce,map,90,BARBEQUE SAUCE,proposed,BARBEQUE SAUCE
beetroot,kitchen,,,proposed,"no inventory candidate — composite line, missing inventory row, or needs the kitchen"
bell peppers,map,38,GREEN BELL PEPPER,proposed,GREEN BELL PEPPER as default; red 65 / yellow 66 exist
bell peppers & onion,kitchen,,,proposed,"composite line — split into components on the sheet, or hand-map deliberately"
bell peppers & onions,kitchen,,,proposed,"composite line — split into components on the sheet, or hand-map deliberately"
black pepper,map,85,BLACK CHINESE PEPPER,proposed,BLACK CHINESE PEPPER is the black-pepper line
blueberries,map,14,MALA CRUSH BLUEBERRY,proposed,MALA CRUSH BLUEBERRY — the sheet's only blueberry line; frozen-mix alternative is item 48
boiled chickpeas,map,78,KABULI CHANA,proposed,cooked KABULI CHANA
bread slices,map,113,BREAD JUMBO,proposed,same
broccoli,map,101,BROCOLLI,proposed,inventory spells it BROCOLLI; FROZEN BROCCOLI (89) is the frozen line
brown bread,map,113,BREAD JUMBO,proposed,one bread line on the sheet (BREAD JUMBO) — confirm variant
brown rice,map,8,DAWAAT BROWN RICE,proposed,DAWAAT BROWN RICE
butter,map,109,AMUL CHIPLETS,proposed,AMUL CHIPLETS are portioned butter
button mushrooms,map,87,BUTTOM MUSHROOM,proposed,inventory spells it BUTTOM MUSHROOM
caesar dressing,kitchen,,,proposed,"no confident match (best: ""THOUSAND ISLAND DRESSING"" at 33%) — composite line, missing inventory row, or needs the kitchen"
