section,display_name,live_slug,status,provenance,matched_via,note
High-Protein Meals,Grilled Chicken with Veggies & Mash,grilled-chicken-sauteed-veg-mash-potato,MATCH,STATIC-SEED,Grilled Chicken With Sautéed Vegetable And Mash Potato High Protein,
High-Protein Meals,Chicken Meal — 150 g grilled chicken + veggies + rice,grilled-chicken-breast-single-serve,MATCH,STATIC-SEED,Grilled Chicken Breast [Single Serve],
High-Protein Meals,Stuffed Chicken with Beans & Mash,stuffed-chicken-with-mashed-potato-saut-ed-green-beans,MATCH,POS-DERIVED,Stuffed Chicken With Mashed Potato & Sautéed Green Beans,
High-Protein Meals,Paneer Meal — 120 g paneer + veggies + rice,,NEW,CREATE,,
High-Protein Meals,Grilled Paneer with Sautéed Veg,grilled-paneer-with-sauteed-veggies,MATCH,POS-DERIVED,Grilled Paneer With Sauteed Veggies,
High-Protein Meals,Boiled Chicken Breast (150 g),boiled-chicken-breast-single-serve,MATCH,STATIC-SEED,Boiled Chicken Breast [Single Serve],
High-Protein Meals,Veggie Meal — 100 g veg + 150 g rice,,NEW,CREATE,,
High-Protein Meals,Tuscan Chicken with Bread/Rice,,ABSENT-CREATE,CREATE,,
High-Protein Meals,Marry Me Mushroom with Bread/Rice,,ABSENT-CREATE,CREATE,,
Bowls,Chicken Burrito Bowl — choose your sauce,barbeque-grilled-chicken-rice-bowl,MATCH,STATIC-SEED,Barbeque Grilled Chicken Rice Bowl,
Bowls,Paneer Burrito Bowl — choose your sauce,chilli-chipotle-paneer-rice-bowl,MATCH,STATIC-SEED,Chilli Chipotle Paneer Rice Bowl,
Bowls,Mushroom Burrito Bowl — choose your sauce,crispy-mushroom-rice-bowl,MATCH,STATIC-SEED,Crispy Mushroom Rice Bowl,
Bowls,Quinoa Khichdi,quinoa-khichdi,MATCH,STATIC-SEED,Quinoa Khichdi,
Wraps & Burritos,BBQ Chicken Tikka Wrap,barbeque-chicken-burrito-wrap,MATCH,STATIC-SEED,Barbeque Chicken Burrito Wrap,
Wraps & Burritos,Chicken Tikka Wrap (Whole Wheat),healthy-whole-wheat-chicken-tikka-wrap,MATCH,STATIC-SEED,Healthy Whole Wheat Chicken Tikka Wrap,
Wraps & Burritos,Paneer Tikka Wrap,paneer-tikka-burrito-wrap,MATCH,STATIC-SEED,Paneer Tikka Burrito Wrap,
Wraps & Burritos,Falafel Hummus Wrap,falafal-hummus-wrap,MATCH,STATIC-SEED,Falafal Hummus Wrap,
Wraps & Burritos,Mushroom Wrap — choose your sauce,crispy-mushroom-burrito-wrap,MATCH,STATIC-SEED,Crispy Mushroom Burrito Wrap,
