rank,dish,category,veg,action,code,note,windows,top15_windows,qty,gross,share_pct,avg_price,gross_W1,gross_W2,gross_W3,gross_W4,w1_discount_pct
105,Cheese Tomato Omelette (2 Egg),Desserts (O),egg,CUT,V,omelette family trimmed 13->8; these are the weakest four in W4,4,0,24,4936,0.15,206,1134,945,945,1912,32.1
59,Exotic Egg Bhurji (2 Egg),Desserts (O),egg,CUT,V,omelette family trimmed 13->8; these are the weakest four in W4,4,0,81,12599,0.39,156,4619,3427,3278,1275,21.9
142,Chilli Garlic Chicken Fried Rice (500 Ml [Serves 1-2]),Non-Veg Rice [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,6,1254,0.04,209,0,0,0,1254,
141,Beetroot Salad With Balsamic Dressing,Veg Salads,veg,CUT,T,long tail: negligible now and never ranked,2,0,5,1359,0.04,272,0,0,219,1140,
134,Alfredo Millets Pasta (Chicken),Millets Pasta (O),non-veg,CUT,T,long tail: negligible now and never ranked,3,0,5,1773,0.05,355,369,369,0,1035,25.2
116,Crispy Peri Peri Potato Burrito Wrap,Veg Burrito Wraps,veg,CUT,V,potato filler in a protein-first brand; faded to 2-3 units,4,0,12,3210,0.1,268,996,518,797,899,26.5
74,Cheesy Delight Nachos,Sides & Munchies,veg,CUT,OB,off-brand + faded to 3 units,4,0,44,9044,0.28,206,3980,1990,2189,885,35.3
118,Crispy Peri Peri Mushroom Burrito Wrap,Veg Burrito Wraps,veg,CUT,V,Crispy Mushroom Burrito Wrap is the seller; peri-peri twin never took,3,0,9,2803,0.09,311,1096,0,847,860,30.1
78,Plain Omelette (2 Egg),Desserts (O),egg,CUT,V,omelette family trimmed 13->8; these are the weakest four in W4,4,0,67,8283,0.25,124,2142,2380,2975,786,24.8
70,Crispy Peri Peri Potato Rice Bowl,Veg Mexican Rice Bowls,veg,CUT,V,potato filler in a protein-first brand; faded to 2-3 units,4,0,36,9824,0.3,273,5908,1644,1494,778,34.2
137,Lichi Cooler,Coolers [ON],veg,CUT,T,coolers at 1-3 units in peak summer window,3,0,8,1610,0.05,201,0,507,338,765,
