section_order,section,item_rank,display_name,maps_from,veg,price_inr,badge,flags
1,High-Protein Meals,1,Grilled Chicken with Veggies & Mash,Grilled Chicken With Sautéed Vegetable And Mash Potato High Protein,non-veg,299,Bestseller,
1,High-Protein Meals,2,Chicken Meal — 150 g grilled chicken + veggies + rice,Grilled Chicken Breast [Single Serve],non-veg,299,,sauce-chooser
1,High-Protein Meals,3,Stuffed Chicken with Beans & Mash,Stuffed Chicken With Mashed Potato & Sautéed Green Beans,non-veg,299,New,
1,High-Protein Meals,4,Paneer Meal — 120 g paneer + veggies + rice,NEW,veg,249,,sauce-chooser;needs-macros
1,High-Protein Meals,5,Grilled Paneer with Sautéed Veg,Grilled Paneer With Sauteed Veggies,veg,199,,
1,High-Protein Meals,6,Boiled Chicken Breast (150 g),Boiled Chicken Breast [Single Serve],non-veg,199,,price-DR-nb180-formula239
1,High-Protein Meals,7,Veggie Meal — 100 g veg + 150 g rice,NEW,veg,199,,sauce-chooser;needs-macros
1,High-Protein Meals,8,Tuscan Chicken with Bread/Rice,Tuscan Chicken With Bread/rice,non-veg,249,,probation
1,High-Protein Meals,9,Marry Me Mushroom with Bread/Rice,Marry Me Mushroom With Bread / Rice,veg,219,New,probation
2,Bowls,1,Chicken Burrito Bowl — choose your sauce,Barbeque Grilled Chicken Rice Bowl;Chipotle Grilled Chicken Rice Bowl;Crispy Peri Peri Chicken Rice Bowl,non-veg,299,,sauce-chooser
2,Bowls,2,Paneer Burrito Bowl — choose your sauce,Chilli Chipotle Paneer Rice Bowl;Barbeque Paneer Rice Bowl,veg,249,,sauce-chooser
2,Bowls,3,Mushroom Burrito Bowl — choose your sauce,Crispy Mushroom Rice Bowl;Crispy Peri Peri Mushroom Rice Bowl,veg,199,,sauce-chooser;fix-first-lineage
2,Bowls,4,Quinoa Khichdi,Quinoa Khichdi,veg,179,,
3,Wraps & Burritos,1,BBQ Chicken Tikka Wrap,Barbeque Chicken Burrito Wrap;Chipotle Chicken Burrito Wrap;Crispy Peri Peri Chicken Burrito Wrap,non-veg,199,Trending,burrito-upgrade;sauce-chooser;parity-lift-nb180;wrap-fold-owner-2026-08-15
3,Wraps & Burritos,2,Chicken Tikka Wrap (Whole Wheat),Healthy Whole Wheat Chicken Tikka Wrap,non-veg,199,,burrito-upgrade;sauce-chooser;parity-lift-nb180
3,Wraps & Burritos,3,Paneer Tikka Wrap,Paneer Tikka Burrito Wrap;Chilli Chipotle Paneer Burrito Wrap,veg,179,,burrito-upgrade;sauce-chooser;parity-lift-nb160
3,Wraps & Burritos,4,Falafel Hummus Wrap,Falafal Hummus Wrap,veg,179,,burrito-upgrade;parity-lift-nb160
3,Wraps & Burritos,5,Mushroom Wrap — choose your sauce,Crispy Mushroom Burrito Wrap,veg,159,,burrito-upgrade;sauce-chooser;fix-first-lineage
3,Wraps & Burritos,6,Paneer Wrap (Whole Wheat),Healthy Whole Wheat Paneer Wrap,veg,179,,confirm-if-same-as-paneer-tikka
3,Wraps & Burritos,7,Veg Quesadilla,Veg Quesadilla,veg,179,,folded-owner-2026-08-15
4,Sandwiches,1,Grilled Veggie Sandwich with Ranch Yoghurt,Grilled Veggie Sandwich With Ranch Yoghurt,veg,169,,fix-first;G-1-addback
4,Sandwiches,2,Grilled Chicken Club Sandwich,Grilled Chicken Club Sandwich,non-veg,199,,G-1-addback
4,Sandwiches,3,Chicken Tikka Sandwich with Ranch Yoghurt,Chicken Tikka Sandwich With Ranch Yoghurt,non-veg,189,,fix-first;G-1-addback
4,Sandwiches,4,Grilled Paneer Sandwich with Ranch Yoghurt,Grilled Paneer Sandwich With Ranch Yoghurt,veg,179,,G-1-addback
4,Sandwiches,5,Grilled Veg Club Sandwich,Grilled Veg Club Sandwich,veg,169,New,G-1-addback
4,Sandwiches,6,Spinach & Corn Sandwich,Spinach & Corn Sandwich,veg,149,New,G-1-addback
4,Sandwiches,7,Mushroom & Caramelised Onion Sandwich,Mushroom & Caramelised Onion Sandwich,veg,159,,probation
5,Salads,1,Falafel Garden Salad,Falafel Garden Salad,veg,199,,
5,Salads,2,Broccoli Lemon Chicken Salad,Broccoli Lemon Chicken Salad,non-veg,249,,riser
5,Salads,3,Chicken Caesar Salad,Chicken Caesar Story Salad,non-veg,249,,
5,Salads,4,Grilled Paneer Salad,Grilled Paneer Salad,veg,199,,
5,Salads,5,Roasted Veg Quinoa Salad,Roasted Vegetable Quinoa Salad;Signature Quinoa Salad,veg,199,New,
5,Salads,6,Fruity Sprout Salad,Fruity Sprout Salad,veg,199,,keep-both-P4
5,Salads,7,Edamame & Corn Salad,NEW,veg,249,New,needs-macros
5,Salads,8,Grilled Chicken Salad,Grilled Chicken Salad,non-veg,249,,fix-first
5,Salads,9,Veg Caesar Salad,Veg Caesar Story Salad,veg,199,,
6,Breakfast & Eggs,1,Avocado Toast,Avocado Toast,veg,299,Bestseller,
6,Breakfast & Eggs,2,Avocado Toast with Sunny Side Up (2 pc),Avocado Toast With Egg;Avocado Toast Sunny Side Up,egg,319,,band-B3;r9-normalized-nb320
6,Breakfast & Eggs,3,Moong Dal Chilla with Curd (2 pc),(2 Pc) Moong Dal Chilla With Curd;Moong Dal Chilla With Curd,veg,129,,
6,Breakfast & Eggs,4,3 Boiled Eggs with Sautéed Veggies,Boiled 3 Egg With Sautéed Veggies,egg,129,,price-check-P2;price-DR-nb99-P2
6,Breakfast & Eggs,5,High Protein Chicken Omelette (2 eggs),High Protein Chicken Omelette (2 Egg),non-veg,149,,addon-group
6,Breakfast & Eggs,6,English Breakfast,English Breakfast,egg,249,,price-P6
6,Breakfast & Eggs,7,Smoked Chicken & Cheese Omelette,Smoked Chicken Cheese Omelette (2 Egg),non-veg,179,,model-as-base-or-addon-DR4
6,Breakfast & Eggs,8,Classic French Toast with Butter,Classic French Toast With Butter,veg,149,New,addback
6,Breakfast & Eggs,9,Turkish Eggs — Çılbır (2 pc),NEW,egg,199,New,needs-macros
6,Breakfast & Eggs,10,Egg Oats Banana Pancakes (4 pc),Oats Banana Pancakes 4pc,egg,179,New,
6,Breakfast & Eggs,11,Spinach Mushroom Omelette (2 eggs),Spinach Mushroom Omelette (2 Egg),egg,159,,via-base-plus-addons-or-sku-DR4;equals-base-plus-addons
6,Breakfast & Eggs,12,Veg Loaded Omelette (2 eggs),Veg Loaded Bread Omelette (2 Egg),egg,119,,addon-group
6,Breakfast & Eggs,13,Egg Shakshuka,Egg Shakshuka,egg,179,,addback
