idx,screen_id,title,device,w,h,has_html,text_chars,cluster
0,911400cdb6d7,Meal Review & Rating,MOBILE,780,1770,True,263,meal review & rating
1,5428b6c136ef,Corporate Lunch Planner,DESKTOP,2560,2048,True,1180,corporate lunch planner
2,f31f8ecf8096,Admin Compliance Console,DESKTOP,2560,2048,True,2115,admin compliance console
3,e8bbaf2ed28c,Metabolic Calendar & Delivery Schedule,MOBILE,780,2794,True,753,metabolic calendar & delivery schedule
4,3b3a53684a8d,Checkout: Payment Processing Sheet,MOBILE,780,1768,True,619,checkout
5,f2708996b2fc,Price Review Redesign,MOBILE,768,1376,False,0,price review redesign
6,2f1b9fa55dd9,Referral Hub: Clinical Gift Credit,MOBILE,780,1902,True,561,referral hub
7,8de111453937,My Plans (Empty State),MOBILE,780,1768,True,321,my plans
8,b66eb85463ef,Premium PDP Hero & Stats,MOBILE,768,1376,False,0,premium pdp hero & stats
9,c0d2f500d805,Order History (Empty State),MOBILE,780,1768,True,279,order history
10,ffd17571553d,Menu (Populated),MOBILE,780,1834,True,460,menu
11,bd2069eafcfa,Menu (Populated),MOBILE,780,5824,True,958,menu
12,3c9af42f09be,Admin Support Ticket Console,DESKTOP,2560,2048,True,1930,admin support ticket console
13,9ca0fce00803,Admin Menu Engineering Console,DESKTOP,2560,2048,True,1806,admin menu engineering console
14,3ea4a9581ff8,PDP Trust & Recommendations,MOBILE,768,1376,False,0,pdp trust & recommendations
15,9803e70e4494,Menu (Loading Skeleton),MOBILE,780,1958,True,23,menu
16,a1eee790e552,PDP Interaction & Macro Analysis,MOBILE,768,1376,False,0,pdp interaction & macro analysis
17,de86049ebf1c,Choose Timeslot,MOBILE,780,1936,True,644,choose timeslot
18,3df3c3961ae3,Dietitian RD Console: Plan Review Queue,DESKTOP,2560,2048,True,1773,dietitian rd console
19,873327360881,image.png,?,1920,1080,False,0,image.png
20,873327360881,image.png,?,1920,1080,False,0,image.png
21,e024b9ea28d6,Team Group Order Lobby,MOBILE,780,1768,True,765,team group order lobby
22,f418ed36a906,Dietary Style Assessment,MOBILE,768,1376,False,0,dietary style assessment
23,5e554e0fc75a,Meal Swap Selection Drawer,MOBILE,780,1768,True,435,meal swap selection drawer
24,3fddd311bbb3,Weekly Planner (Active),MOBILE,780,2754,True,865,weekly planner
25,321a4f91627d,Privacy Policy & Terms,MOBILE,780,4694,True,2347,privacy policy & terms
26,a52b05642ce6,404: Recipe Missing,MOBILE,780,1768,True,278,404
27,06df130460f9,Clinical Allergen Gate,MOBILE,780,1810,True,545,clinical allergen gate
28,74af4d3b7d0f,Landing Introduction,MOBILE,780,1768,True,265,landing introduction
29,104699584170,image.png,?,1920,1080,False,0,image.png
30,b401dcaac9f5,Admin Moderation Console,DESKTOP,2560,2048,True,2196,admin moderation console
31,a9c20769d468,Dietitian RD Console: Client Dashboard,DESKTOP,2560,2048,True,2225,dietitian rd console
32,be47798e87eb,Shader,?,512,512,True,0,shader
33,60816afabc95,Order Tracker: Delivered,MOBILE,780,2198,True,440,order tracker
34,d9c3194a0ba0,Allergens & Exclusions,MOBILE,780,2652,True,1180,allergens & exclusions
35,873327360881,image.png,?,1920,1080,False,0,image.png
