id,name,category,current_rs,stageA_rs,stageA_paise,final_target_rs,final_target_paise,stageA_delta_pct,remaining_at_cutover_pct
1,Activated Charcoal Smoothie,beverages,50,69,6900,139,13900,38,101
2,Aglio Olio - Veg,pasta,130,189,18900,229,22900,45,21
3,Aglio Olio - Chicken,pasta,180,259,25900,269,26900,44,4
4,Aglio Olio - Prawns,pasta,200,269,26900,269,26900,34,0
5,Alfredo Pasta - Veg,pasta,175,229,22900,229,22900,31,0
6,Alfredo Pasta - Chicken,pasta,225,269,26900,269,26900,20,0
7,Alfredo Pasta - Prawns,pasta,245,269,26900,269,26900,10,0
8,Aliya Viral Beetroot Curd,mains,145,179,17900,179,17900,23,0
9,Almond Chicken Salad,salads,155,219,21900,249,24900,41,14
10,Amaranth Porridge with Blueberry Sauce,breakfast,80,109,10900,109,10900,36,0
11,Antioxidant Detox,beverages,170,170,17000,170,17000,0,0
12,Apple Cinnamon Smoothie,beverages,150,150,15000,150,15000,0,0
13,Arrabbiata - Veg,pasta,125,179,17900,229,22900,43,28
14,Arrabbiata - Chicken,pasta,175,249,24900,269,26900,42,8
15,Arrabbiata - Prawns,pasta,160,229,22900,269,26900,43,17
16,Avocado Toast,breakfast,240,240,24000,240,24000,0,0
17,Avocado Toast with Poached Boiled Egg,breakfast,280,280,28000,280,28000,0,0
18,Avocado Toast with Sunny Side Up,breakfast,280,280,28000,280,28000,0,0
19,Barbeque Chicken Burrito Wrap,wraps,160,229,22900,249,24900,43,9
20,Barbeque Grilled Chicken Rice Bowl,bowls,170,249,24900,259,25900,46,4
21,Barbeque Paneer Fiesta Rice Bowl,bowls,165,229,22900,229,22900,39,0
22,Blueberry Smoothie,beverages,230,230,23000,230,23000,0,0
23,Broccoli Almond Soup,soups,95,139,13900,139,13900,46,0
24,Broccoli Babycorn Tomato Salad,salads,100,139,13900,199,19900,39,43
25,Broccoli Lemon Chicken Salad,salads,155,219,21900,249,24900,41,14
26,Cheese Omelette,breakfast,85,119,11900,169,16900,40,42
27,Cheese Tomato Omelette,breakfast,85,119,11900,169,16900,40,42
28,Cheesy Delight Nachos,snacks,130,130,13000,130,13000,0,0
29,Chia Lemonade Smoothie,beverages,80,119,11900,139,13900,49,17
30,Chicken Amigos Sandwich,wraps,145,209,20900,249,24900,44,19
31,Chicken Caesar Story Salad,salads,200,269,26900,269,26900,34,0
32,Chicken Hummus Pita,wraps,130,189,18900,249,24900,45,32
33,Chicken Pita Pockets with Hummus,wraps,115,169,16900,249,24900,47,47
34,Chicken Tikka Sandwich with Ranch Yoghurt,wraps,155,219,21900,249,24900,41,14
35,Chickpea & Peanut Tabbouleh Salad,salads,75,109,10900,199,19900,45,83
